allocator,create,query,total
mem3_16mb,7934894,466282559,474224852
mem3_16mb,7957435,472806093,480771639
mem3_16mb,7948182,463949853,471905597
mem3_16mb,7928065,468867756,476803856
mem3_16mb,7974999,466672422,474654975
mem3_16mb,7949191,467607000,475564377
mem3_16mb,7986668,459540999,467535105
mem3_16mb,7943271,456346788,464298001
mem3_16mb,7933309,474258646,482198990
mem3_16mb,7967999,470031345,478007379
mem3_16mb,7931958,473115621,481054948
mem3_16mb,7960884,460504420,468473220
mem3_16mb,7920481,462477325,470405477
mem3_16mb,7930366,461705776,469644348
mem3_16mb,7926934,465803221,473737365
mem3_16mb,7937063,507520391,515465509
mem3_16mb,7922390,470063663,477993441
mem3_16mb,7941391,461453067,469402348
mem3_16mb,7966145,525097230,533070744
mem3_16mb,7934993,470269871,478212832
mem3_16mb,7926773,467593045,475527397
mem3_16mb,7083263,467145344,474268306
mem3_16mb,6959804,447471486,454439648
mem3_16mb,6952528,462021573,468983123
mem3_16mb,6975526,459604143,466587783
mem3_16mb,6988332,452167137,459164016
mem3_16mb,6965594,455103923,462077290
mem3_16mb,6958182,454779770,461746222
mem3_16mb,6985498,462958011,469951052
mem3_16mb,6993076,453177545,460178816
mem3_16mb,6994629,464610532,471612042
mem3_16mb,6988753,459670123,466667401
mem3_16mb,7048314,514071699,521127687
mem3_16mb,7012361,455168121,462188670
mem3_16mb,6968728,459376438,466352324
mem3_16mb,6983758,460428840,467421010
mem3_16mb,6987121,453364474,460358913
mem3_16mb,6964429,463864580,470837474
mem3_16mb,6960085,453356127,460323312
mem3_16mb,7026321,462339287,469374076
mem3_16mb,6983785,459496976,466488639
mem3_16mb,6981019,461227605,468217200
mem3_16mb,7029113,469160613,476196996
mem3_16mb,6988790,472247036,479244000
mem3_16mb,6959563,462884979,469852068
mem3_16mb,6974859,461451752,468434759
mem3_16mb,6975411,506077976,513060845
mem3_16mb,6975594,456763715,463747547
mem3_16mb,6967213,507557129,514531962
mem3_16mb,6971191,462186245,469166045
mem3_16mb,6967729,508975912,515950907
mem3_16mb,7236816,514732142,522004611
mem3_16mb,7087854,457749872,464845833
mem3_16mb,7058376,454759258,461826001
mem3_16mb,7157304,460065615,467230952
mem3_16mb,7108505,460785329,467901952
mem3_16mb,7063807,470142263,477213629
mem3_16mb,7076730,462572116,469656795
mem3_16mb,7085249,501943029,509035396
mem3_16mb,7071990,461279554,468359514
mem3_16mb,7073743,508879267,515960194
mem3_16mb,7071384,460033410,467112700
mem3_16mb,7064746,450010391,457082718
mem3_16mb,7103781,471520420,478631824
mem3_16mb,7079733,454713242,461800013
mem3_16mb,7090612,500643477,507741241
mem3_16mb,7149848,464118476,471275355
mem3_16mb,7074708,460896848,467979044
mem3_16mb,7115506,453627728,460750705
mem3_16mb,7112113,457774304,464893826
mem3_16mb,7085519,447148856,454241600
mem3_16mb,7092184,457913288,465012987
mem3_16mb,7089747,466028786,473125736
mem3_16mb,7096787,467483840,474588200
mem3_16mb,7077247,449976860,457061138
mem3_16mb,7207435,454499867,461715491
mem3_16mb,7077842,512287232,519372535
mem3_16mb,7073578,495325245,502407086
mem3_16mb,7079792,463031954,470119098
mem3_16mb,7068871,460375792,467452106
mem3_16mb,7102812,460851033,467960985
mem5_1mb,7091322,497783876,504915137
mem5_1mb,6955678,585936453,592900357
mem5_1mb,6968173,575036715,582014705
mem5_1mb,6950776,574336091,581294604
mem5_1mb,6961649,573050200,580021676
mem5_1mb,6947761,575990595,582946715
mem5_1mb,6997302,573437170,580443757
mem5_1mb,6949627,551433498,558391690
mem5_1mb,6957027,622178449,629143962
mem5_1mb,6971659,527513675,534493405
mem5_1mb,6958897,567965741,574932826
mem5_1mb,6950553,580386296,587344992
mem5_1mb,6991705,582681587,589681460
mem5_1mb,6987004,529142564,536137875
mem5_1mb,6951242,566532044,573491671
mem5_1mb,6961406,625508939,632478318
mem5_1mb,6943324,581968749,588920202
